date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:48	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/MeiryoUI.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/MeiryoUI.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:48	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/MeiryoUIBold.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/MeiryoUIBold.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/UnDotum.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/UnDotum.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/UnDotumBold.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/UnDotumBold.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/verdana.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/verdana.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/verdanab.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/verdanab.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/verdanai.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/verdanai.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/verdanaz.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/verdanaz.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/YaHei%20Bold.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/YaHei%20Bold.eot	(from https://ubg365.github.io/g-switch-3/)
20:44:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	https://ubg365.github.io/g-switch-3/assets/data/YaHei.eot	C:/Users/viral/Desktop/test/https___ubg365.github.io_/ubg365.github.io/g-switch-3/assets/data/YaHei.eot	(from https://ubg365.github.io/g-switch-3/)
